ANode,BNode,LINK_TYPE,DISTANCE,ONE_WAY
100237,100246,11,2.2358,0
100237,100429,11,1.85934,0
100238,100233,11,1.99845,0
100238,100239,11,1.5731,0
100239,100238,11,1.5731,0
100239,100274,11,4.16809,0
100240,100251,11,0.5789,0
100240,100407,11,0.56091,0
100241,100247,11,0.9164,0
100241,100431,11,0.99603,0
100242,100196,11,1.1559,0
100242,100246,11,1.62317,0
100243,100233,11,1.21641,0
100243,100407,11,2.58174,0
100244,100236,11,1.71287,0
100244,100430,11,2.44393,0
100245,100429,11,2.07637,0
100245,100430,11,1.68241,0
100246,100237,11,2.2358,0
100246,100242,11,1.62317,0
100247,100217,11,1.54022,0
100247,100241,11,0.9164,0
100248,100202,11,1.03346,0
100248,100407,11,0.2834,0
100249,100251,11,1.86827,0
100249,100408,11,0.18437,0
100250,100236,11,1.28894,0
100250,100276,11,2.67599,0
100251,100240,11,0.5789,0
100251,100249,11,1.86827,0
100252,100253,11,4.86045,0
100252,100280,11,8.38353,0
100253,100252,11,4.86045,0
100253,100404,11,1.64296,0
100254,100255,11,5.2893,0
100254,100338,11,42.2621,0
100255,100226,11,12.1077,0
100255,100254,11,5.2893,0
100256,100258,11,2.54066,0
100256,100425,11,0.7352,0
100257,100258,11,1.18377,0
100258,100256,11,2.54066,0
100258,100257,11,1.18377,0
100259,100286,11,3.65439,0
100259,100422,11,3.58283,0
100259,100424,11,5.36235,0
100260,100261,11,2.99267,0
100260,100424,11,0.28343,0
100261,100260,11,2.99267,0
100261,100266,11,1.22162,0
100261,100426,11,0.21652,0
100262,100418,11,0.93686,0
100262,100421,11,0.64797,0
100263,100229,11,2.83174,0
100263,100264,11,1.32042,0
100264,100263,11,1.32042,0
100264,100425,11,2.21763,0
100265,100285,11,2.95795,0
100265,100421,11,0.59112,0
100266,100261,11,1.22162,0
100266,100425,11,1.76099,0
100267,100231,11,3.98809,0
100267,100409,11,0.50038,0
100268,100414,11,0.24397,0
100268,100415,11,4.01763,0
100269,100276,11,1.59228,0
100269,100413,11,0.52304,0
100270,100277,11,1.7038,0
100270,100600,11,4.87049,0
100271,100272,11,1.55966,0
100271,100277,11,1.42393,0
100272,100271,11,1.55966,0
