ATCOCode,Node
6200242999,57465
6200100037,9703
6200100036,9727
6200100035,9724
6200209470,56178
627001010040,6081
627001010030,6081
627001010010,6036
6200100038,9725
627001010090,6031
627001010070,6063
627001010060,6056
627001010050,6057
627001010130,6035
627001010122,6013
627001010110,5987
627001010100,6026
6200241955,9978
6200202165,8096
6200247745,8096
6200242281,9910
6200249772,8259
6200600216,8259
6200202298,90134
6200203556,8534
6200207255,9964
6200200212,8259
6200249774,8259
6200200214,8259
6200239155,56178
6200246345,8444
6200203552,8444
6200241965,9964
6200290110,9096
6200290100,8781
6200290090,8149
6200290080,90134
6200290150,9116
6200290140,9096
6200290130,8807
6200290120,8810
6200400000,9618
6200311975,8252
6200291000,9690
6200290160,9116
6200600742,57476
6200600741,57476
6200600740,57476
6200600739,57476
6200250310,9992
6200250195,9164
6200250190,9164
6200250170,9262
6200251012,9554
6200251010,9554
6200251005,10100
6200250320,9859
6200260000,9069
6200251020,9554
6200251016,9554
6200251014,9554
6200290070,55956
6200290020,9979
6200290000,8634
6200279458,8259
6200BRUSTAN,10018
6200BRUNSTAN,10019
6200AIR001,90134
6200600833,8182
6200EDINBUR1,9627
6200EDI101,90134
6200DLMY,8231
6200CURRIEH1,8259
6200EDINBUR5,9602
6200EDINBUR4,9684
6200EDINBUR3,9618
6200EDINBUR2,9618
6200EDINBUR9,57476
6200EDINBUR8,57476
6200EDINBUR7,57476
6200EDINBUR6,9684
6200600746,57476
6200600745,57476
6200600744,57476
6200600743,57476
6200600750,57476
6200600749,57476
6200600748,57476
6200600747,57476
6200600754,57476
6200600753,57476
6200600752,57476
6200600751,57476
6200600823,8194
6200600790,57476
6200600789,57476
6200600776,57476
6200R00063,8757
6200R00062,10106
6200R00061,10019
6200R00060,8271
6200R00067,57747
6200R00066,57748
6200R00065,8744
6200R00064,9116
6200STHGYLE2,57748
6200STHGYLE1,57748
6200SLATEFD2,9116
6200SLATEFD1,9116
6200T00003,9605
6200T00002,9050
6200T00001,9604
6200STHGYLE3,57747
6200HAYMRKT1,8972
6200HAYMRKT,8972
6200EDINPRK2,57767
6200EDINPRK1,57767
6200NCRAGHA2,10011
6200NCRAGHA1,10011
6200KNGW2,8744
6200KNGW1,8744
6200R00055,9684
6200R00054,9627
6200R00052,57476
6200R00051,57476
6200R00059,8259
6200R00058,9627
6200R00057,9627
6200R00056,9684
6200T00023,9250
6200T00022,9341
6200T00021,57495
6200T00020,57484
6200T00027,9941
6200T00026,8974
6200T00025,8814
6200T00024,9594
6200T00031,8846
6200T00030,8985
6200T00029,9595
6200T00028,57480
6200T00035,57714
6200T00034,9078
6200T00033,9686
6200T00032,8976
6200T00007,9690
6200T00006,57064
6200T00005,9227
6200T00004,9594
6200T00011,8822
6200T00010,9005
6200T00009,9639
6200T00008,80006
6200T00015,57493
6200T00014,8493
6200T00013,8585
6200T00012,9980
6200T00019,9639
6200T00018,57480
6200T00017,9025
6200T00016,8832
6200249433,8339
6200249430,8284
6200249429,8405
6200249428,8404
6200249437,8320
6200249436,8395
6200249435,8404
6200249434,8404
6200249450,8286
6200249440,8286
6200249439,8349
6200249438,8320
6200249456,8658
6200249454,8270
6200249453,8278
6200249451,8279
6200249370,57791
6200249360,57785
6200249355,8628
6200249350,8261
6200249376,8793
6200249374,8739
6200249372,57792
6200249371,8738
6200249410,8280
6200249400,8793
