ATCOCode,NAME
6490IM518,Angus
6490IM522,Angus
6490IM850,Angus
6490IM851,Angus
6490IM853,Angus
6490IM008,Angus
6490IM014,Angus
6490IM9094,Angus
6490IM3311,Angus
649018001,Angus
649018003,Angus
649018009,Angus
649018011,Angus
649018029,Angus
6490IM335,Angus
6490IM453,Angus
6490IM1107,Angus
6490IM2054,Angus
6490IM1841,Angus
6490IM1134,Angus
6490IM1135,Angus
6490IM1140,Angus
6490IM1148,Angus
6490IM1149,Angus
6490IM639,Angus
6490IM675,Angus
6490IM242,Angus
6490IM1180,Angus
6490IM1181,Angus
6490IM1853,Angus
6490IM1854,Angus
6490IM502,Angus
6490IM503,Angus
6490IM504,Angus
6490IM1946,Angus
6490IM482,Angus
6490IM685,Angus
6490IM700,Angus
6490IM1657,Angus
6490IM1671,Angus
6490IM848,Angus
6490IM849,Angus
6490IM1060,Angus
6490IM154,Angus
6490IM1723,Angus
6490IM1789,Angus
6490IM743,Angus
6490IM1057,Angus
6490IM11543,Angus
6490IM1945,Angus
6490IM9095,Angus
6490IM746,Angus
6490IM495,Angus
6490IM498,Angus
6490IM501,Angus
6490IM277,Angus
6490IM2815,Angus
649018031,Angus
6490CNST0,Angus
6490IM004,Angus
6490IM005,Angus
6490IM220,Angus
6490IM221,Angus
6490IM2210,Angus
6490IM2211,Angus
6490IM222,Angus
6490IM223,Angus
6490IM2312,Angus
6490IM049,Angus
6490IM2313,Angus
6490IM046,Angus
6490IM3011,Angus
6490IM3310,Angus
6490IM034,Angus
6490IM587,Angus
6490IM1676,Angus
6490IM1073,Angus
6490IM1088,Angus
6490IM900,Angus
6490IM1938,Angus
6490IM1939,Angus
6490IM1672,Angus
6490IM1673,Angus
6490IM238,Angus
6490IM1675,Angus
6490IM069,Angus
6490IM994,Angus
6490IM995,Angus
6490TX0010,Angus
6490IM439,Angus
6490IM727,Angus
6490IM740,Angus
6490IM060,Angus
6490IM063,Angus
6490IM569,Angus
6490IM570,Angus
6490IM744,Angus
6490IM745,Angus
6490IM626,Angus
6490IM101,Angus
6490IM1050,Angus
6490IM1051,Angus
6490IM1054,Angus
6490IM1248,Angus
6490IM1399,Angus
6490IM920,Angus
6490IM932,Angus
6490IM937,Angus
6490IM1463,Angus
6490IM1464,Angus
6490IM1465,Angus
6490IM1466,Angus
6490IM040,Angus
6490IM041,Angus
6490IM1790,Angus
6490TX009,Angus
6490IM1245,Angus
6490IM1470,Angus
6490IM1471,Angus
6490IM1472,Angus
6490IM882,Angus
6490IM1702,Angus
6490IM1747,Angus
6490IM1195,Angus
6490IM1196,Angus
6490IM571,Angus
6490IM572,Angus
6490IM573,Angus
6490IM574,Angus
6490IM575,Angus
6490IM583,Angus
6490IM585,Angus
6490IM586,Angus
6490IM358,Angus
6490IM362,Angus
6490IM3659,Angus
6490IM371,Angus
6490IM379,Angus
6490IM380,Angus
6490IM392,Angus
6490IM417,Angus
6490IM1182,Angus
6490IM1189,Angus
6490IM1194,Angus
6490IM588,Angus
6490IM589,Angus
6490IM1473,Angus
6490IM1474,Angus
6490IM1475,Angus
6490IM153,Angus
6490IM1467,Angus
6490IM1468,Angus
6490IM1469,Angus
6490IM548,Angus
6490IM549,Angus
6490IM557,Angus
6490IM1848,Angus
6490IM1849,Angus
6490IM1850,Angus
6490IM1677,Angus
6490IM1678,Angus
6490IM1125,Angus
6490IM1126,Angus
6490IM1127,Angus
6490IM336,Angus
6490IM340,Angus
6490IM346,Angus
6490IM1316,Angus
6490IM1317,Angus
6490IM1338,Angus
6490IM1339,Angus
6490IM9997,Angus
6490IM1842,Angus
6490IM1990,Angus
6490IM58,Angus
6490IM375,Angus
6490IM1991,Angus
6490IM1989,Angus
6490IM1916,Angus
6490IM1903,Angus
6490IM376,Angus
6490IM1988,Angus
6490IM1977,Angus
6490IM1978,Angus
6490IM444,Angus
6490IM902,Angus
6490IM905,Angus
6490IM906,Angus
6490IM907,Angus
6490IM908,Angus
6490IM9086,Angus
6490IM9087,Angus
6490IM9088,Angus
6490IM909,Angus
6490IM60,Angus
6490IM1047,Angus
6490IM1253,Angus
6490IM1254,Angus
6490IM1755,Angus
6490IM11487,Angus
6490IM236,Angus
6490IM875,Angus
6490IM876,Angus
6490IM1890,Angus
6490IM1891,Angus
6490IM1892,Angus
6490IM1893,Angus
6490IM1996,Angus
6490IM725,Angus
6490IM57,Angus
649017975,Angus
649017977,Angus
649018013,Angus
649018015,Angus
649018021,Angus
649018023,Angus
6490IM1936,Angus
6490IM930,Angus
6490IM931,Angus
6490IM792,Angus
6490IM793,Angus
6490IM794,Angus
6490IM795,Angus
6490IM783,Angus
6490IM784,Angus
6490IM959,Angus
6490IM960,Angus
6490IM410,Angus
6490IM1285,Angus
6490IM1286,Angus
6490IM1289,Angus
6490IM1290,Angus
6490IM012,Angus
6490IM1875,Angus
6490IM476,Angus
6490IM477,Angus
6490IM1258,Angus
6490IM1407,Angus
6490IM1384,Angus
6490IM139,Angus
6490IM1748,Angus
6490IM1749,Angus
6490IM1750,Angus
6490IM1753,Angus
6490IM1754,Angus
6490IM202,Angus
6490IM1809,Angus
6490IM1175,Angus
6490IM1176,Angus
6490IM751,Angus
6490IM232,Angus
6490IM233,Angus
6490IM486,Angus
6490IM511,Angus
6490IM553,Angus
6490IM554,Angus
6490IM555,Angus
6490IM559,Angus
6490IM1758,Angus
6490IM1759,Angus
6490IM1116,Angus
6490IM1117,Angus
6490IM807,Angus
6490IM1937,Angus
6490IM1940,Angus
6490IM265,Angus
6490IM266,Angus
6490IM1904,Angus
6490IM241,Angus
6490IM244,Angus
6490IM631,Angus
6490IM672,Angus
6490IM237,Angus
6490IM239,Angus
6490IM089,Angus
6490IM150,Angus
6490IM151,Angus
6490IM199,Angus
6490IM1720,Angus
6490IM1359,Angus
6490IM630,Angus
6490IM1168,Angus
6490IM1171,Angus
6490IM1941,Angus
6490TX011,Angus
6490TX012,Angus
6490IM1164,Angus
6490IM1172,Angus
6490IM225,Angus
6490IM921,Angus
6490IM088,Angus
6490IM922,Angus
6490IM1711,Angus
6490IM1712,Angus
6490IM119,Angus
6490IM339,Angus
6490IM350,Angus
6490IM351,Angus
6490IM1851,Angus
6490IM1852,Angus
6490IM1855,Angus
6490IM1856,Angus
6490IM1857,Angus
6490IM1874,Angus
6490IM1118,Angus
6490IM1119,Angus
6490IM251,Angus
6490IM291,Angus
6490IM297,Angus
6490IM331,Angus
6490IM130,Angus
6490IM1410,Angus
6490IM1416,Angus
6490IM694,Angus
6490IM1670,Angus
6490IM1816,Angus
6490IM018,Angus
6490IM808,Angus
6490IM809,Angus
6490IM1210,Angus
6490IM1211,Angus
6490IM1231,Angus
6490IM1074,Angus
6490IM142,Angus
6490IM1420,Angus
6490IM1439,Angus
6490IM1440,Angus
6490IM029,Angus
6490IM032,Angus
6490IM057,Angus
6490IM981,Angus
6490IM985,Angus
6490IM986,Angus
6490IM2205,Angus
6490IM2206,Angus
6490IM229,Angus
6490IM1942,Angus
6490IM1943,Angus
6490IM195,Angus
6490IM1959,Angus
6490IM1960,Angus
6490IM1979,Angus
6490IM1980,Angus
6490IM523,Angus
6490IM526,Angus
6490IM465,Angus
6490IM8829,Angus
6490IM885,Angus
6490IM887,Angus
6490IM1703,Angus
6490IM1917,Angus
6490IM193,Angus
6490IM726,Angus
6490IM738,Angus
6490IM739,Angus
6490IM1417,Angus
6490IM560,Angus
6490IM1752,Angus
6490IM1132,Angus
