SName,TIPLOC,Alpha,Data_Source,EASTING,NORTHING,Cube_Node
MILLERHILL SIGNAL 24,MLRHSTH,0,MCA,332205,671087,888888
MILLERHILL W.R.D.,MLRHWRD,0,MCA,332655,670067,888888
MILLFIELD STN T&WM,MLLF,0MI,MCA,438501,557032,999999
MILLIKEN PARK,MILKNPK,MIN,MSN,241329,661955,100157
MILLOM,MLLM,MLM,MSN,317214,480206,999999
MILLOM LOADING POINT (DRS),MLLMDRS,0,MCA,317214,480206,999999
MILLOM SIDING (DBS),MLLMSDG,0,MCA,317240,480204,999999
MILLS HILL,MLSHILL,MIH,MSN,388736,406023,999999
MILNER ROYD SIG MR8,MLNR8,0,MCA,403550,425063,999999
MILNGAVIE,MLGV,MLN,MSN,255532,674463,100221
MILNTHORPE,MLNT,0,MCA,351326,481460,999999
MILTON,STOKMIL,0,MCA,390222,351168,999999
MILTON JUNCTION,MILTJN,0,MCA,449310,191504,999999
MILTON KEYNES CENTRAL,MKNSCEN,MKC,MSN,484241,237941,999999
MILVERTON JN,MLVTJN,0,MCA,430462,266213,999999
MINEHEAD WEST SOM RWY,MINEHED,0MH,MCA,297829,146070,999999
MINETY CROSSING,MINTYX,0,MCA,401479,191824,999999
MINFFORDD,MINFORD,MFF,MSN,259948,338532,999999
MINFFORDD (FFEST. RLWY),MINFFR,0,MCA,259948,338532,999999
MINSTER,MINSTER,MSR,MSN,631155,164123,999999
MINSTER EAST JN.,MINSTEJ,0XM,MCA,631768,164092,999999
MINSTER SOUTH JN.,MINSTSJ,0,MCA,631578,163769,999999
MINSTER WEST JN.,MINSTWJ,0,MCA,631768,164092,999999
MIREHOUSE JUNCTION,MIREJN,0,MCA,297926,516522,999999
MIRFIELD,MIRFEJN,MIR,MSN,421905,419519,999999
MIRFIELD,MIRFILD,MIR,MSN,420358,419496,999999
MISKIN,MISKIN,0,MCA,306107,179160,999999
MISTLEY,MISTLEY,MIS,MSN,611921,231717,999999
MISTLEY DOWN LOOP,MISTDL,0,MCA,611724,231682,999999
MITCHAM EASTFIELDS,ESTFLDS,MTC,MSN,528435,169220,999999
MITCHAM JUNCTION,MITCHMJ,MIJ,MSN,528297,167588,999999
MITRE BRIDGE JN,MTRBDGJ,0XM,MCA,522490,182320,999999
MOBBERLEY,MOBERLY,MOB,MSN,377875,381419,999999
MOIRA HICKS LODGE,MOIRHIC,0,MCA,432583,315714,999999
MOIRA HICKS LODGE FHH,MOIRFHH,0,MCA,432583,315714,999999
MOIRA HICKS LODGE GF,MOIRHGF,0,MCA,432582,315714,999999
MOIRA WEST JN,MOIRAWJ,0,MCA,430129,316516,999999
MOLD JN,MOLDJ,0,MCA,336599,365276,999999
MOLEWOOD JUNCTION,MOLEJN,0,MCA,531136,216103,999999
MONIFIETH,MONIFTH,MON,MSN,349743,732274,100092
MONK BRETTON LOOP,MNKBLP,0,MCA,437729,409705,999999
MONK BRETTON REDFEARNS,MNKBRRF,0,MCA,437288,408527,999999
MONKS RISBOROUGH,MNKRISB,MRS,MSN,480939,204778,999999
MONKTON SDG GROUND FRAME,PWCKMGF,0,MCA,234729,627947,888888
MONKTONHALL COLLIERY,MNKTNCL,0,MCA,332557,669192,888888
MONKTONHALL JN,MNKTNHJ,0,MCA,334213,671149,888888
