ATCOCode,Node
090002434446,55475
090002434447,55475
090002564430,55487
090002134468,3796
090002104355,55487
090002104356,55487
090002124165,55475
090002124167,55475
090002494181,55475
090002564483,55487
090002564484,55487
090002574481,55474
090033404485,55520
090002574497,55474
090002574527,55474
090002594515,55471
090033374538,55496
090033374539,55496
090033374540,55496
090033374541,55496
090033374542,55496
090033374790,55496
090033444511,55496
090002134509,55487
090033104553,55495
090033104572,55495
090033104573,55495
090033104574,55496
090033104575,55496
090033104778,55496
090033104809,55495
090033444529,55496
090033444821,55496
090002014673,55487
090002014674,55487
090033104501,55495
090002434506,55475
090002574658,55474
090002574659,55474
090033444520,55496
090002594516,55470
090002594523,55471
090033154585,55487
090033194792,55511
090033194793,55511
090033194824,55511
090033194826,55511
090033194827,55511
090033324510,55494
090033324522,55494
090033364524,55497
090033374528,55496
090033374534,55494
090033374535,55494
090033374536,55494
090033374537,55494
090033254785,55491
090033254786,55491
090002354662,55475
090074294841,55497
090033074787,55488
090033444822,55496
090033444823,55511
090002564669,55487
090002564817,55487
090002574525,55474
090002594653,55471
090002354663,55475
090002354664,55475
090002354665,55475
090002354666,55475
090002354668,55475
090002384783,55487
090033104551,55495
090033104552,55495
090033274788,55492
090002334688,3780
090033194838,55511
090002404656,55476
090002404657,55476
090002134686,3885
090002134687,3885
090002164670,55475
090002574526,55474
090002434498,55475
090002254500,55475
090002434499,55475
090002434508,55475
090002434780,55475
090002494808,55475
090002104784,55487
090002334689,3780
090002354660,55475
090002354661,55475
090002434505,55475
090033374844,55494
090033104845,55495
090074294842,55497
090033104846,55495
090033224975,55520
090033224976,55520
090033224973,55520
090033224974,55520
090033104847,55495
090033104848,55495
090033104851,55495
090033104849,55495
090002035052,55475
090033104867,55495
090033104870,55495
090033104871,55495
090033104872,55495
090033104878,55495
090033104880,55495
090033104900,55494
090033154935,55487
090033234898,55494
090033234899,55494
090033973882,55511
090033973883,55511
090033024942,55495
090033024944,55495
090033024945,55494
090033234912,55494
090033314934,55487
090033444950,55496
090033444951,55496
090033374861,55496
090002134947,3796
090002134948,3796
090002224988,55478
090002224989,55478
090002224990,55478
090002224992,55478
090002224993,55478
090033973590,55495
090002044987,55475
090002044994,55475
090002255020,55475
090033415014,55520
090033295013,55520
090033395016,55520
090033295012,55520
090033415015,55520
090002224995,55478
090002433006,55475
090002433007,55475
090002433008,55475
090002433009,55475
090002434352,55475
090002434354,55475
090002514936,55487
090002514937,55487
090002564981,55487
090002564982,55487
090002564983,55487
090002564984,55487
090002564985,55487
090002564986,55487
090033014891,55492
090033025025,3986
090033025026,3986
090002595029,55474
090002595027,55474
090002165031,55487
090002225043,55478
090002185041,55477
090033104852,55495
090033104856,55495
090033324857,55494
090002225055,55477
090033025068,55494
090033025067,55494
090033105080,55497
090033375082,55494
090033105077,55497
090033105078,55497
090033395087,55520
0900ASPTRIA0,55475
0900ASPTRIA1,55475
0900CARLILE0,55495
0900DALSTON0,55487
0900WIGTON0,55487
0900WIGTON1,55487
0900WKNT0,55470
0900WETHERL0,55496
0900WETHERL1,55496
090033061431,55518
090033101667,55495
090033151574,55487
090033221589,55511
090033234620,55494
0900FLIMBY0,55475
0900DALSTON1,55487
090002590031,55470
0900HNGT0,55474
090002433661,55475
090002564715,55487
090002574607,55474
090002574608,55474
090002574609,55474
090002574610,55474
0900ARMTHWT0,55497
0900MPRT0,55475
0900BRMPTNC0,55518
0900BRMPTNC1,55518
090033442994,55496
090074291308,55497
0900ARMTHWT1,55497
090002101617,55487
090002102084,55487
090002031692,55475
090002031836,55475
090002042177,55475
090002042284,55475
090002430339,55475
090002430341,55475
090002430344,55475
090002430347,55475
090002430350,55475
090002430352,55475
090002430353,55475
090002430356,55475
090002430357,55475
090002041386,55475
090002041611,55475
090002041626,55475
090002041992,55475
090002042022,55475
090002042088,55475
090002042119,55475
090002252814,55475
090002161441,55487
090002231807,55475
090002231876,55475
090002232056,55475
090002232111,55475
090002232226,55475
090002232989,55475
090002251503,55475
090002251754,55475
090002221154,55478
090002231517,55475
090002102600,55487
090002282768,55475
090002290049,55476
090002290345,55476
090002290346,55476
090002290354,55476
090002231777,55475
090002170383,55477
090002170384,55477
090002171148,55477
090002171149,55477
090002180362,55475
090002180363,55475
090002150390,55477
090002150391,55477
090002150392,55477
090002170373,55477
090002170376,55477
090002170377,55477
090002170378,55477
090002170380,55477
090002170381,55477
090002170382,55477
090002251808,55475
090002252018,55475
090002252066,55475
090002252112,55475
090002231628,55475
090002231629,55475
090002231689,55475
090002252817,55475
090002252979,55475
090002261455,55487
090002181147,55475
090002211146,55476
090002220395,55478
090002220396,55478
090002220397,55478
090002220398,55478
090002220399,55478
090002220400,55478
090002220401,55478
090002220402,55478
090002220403,55478
090002220404,55478
090002220405,55478
090002220406,55478
090002220407,55478
090002180364,55475
090002180365,55475
090002180367,55476
090002180369,55475
090002180370,55475
090002022886,55487
090002121423,55475
090002121424,55475
090002121425,55475
090002121426,55475
090002121847,55475
090002131502,3780
090002131507,3780
090002132700,3796
090002141150,55477
090002150062,55477
090002430331,55475
090002430334,55475
090002430335,55475
090002032651,55475
090002042500,55475
090002042615,55475
090002042792,55475
090002252348,55475
090002252402,55475
090002252542,55475
090002161706,55487
090002161762,55475
090002161763,55475
